TWA;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;35;40;50;60;70
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;0.0;2.35;4.7;6.52;7.83;7.96;8.87;9.26;9.39;9.52;9.79;9.92;10.05;10.18;10.18;10.31;10.31;10.1;9.85;8.8;7.79
35;0.0;2.74;5.87;8.09;9.66;9.79;10.96;11.22;11.48;11.61;12.0;12.13;12.4;12.53;12.53;12.66;12.79;12.53;12.22;10.88;9.7
40;0.0;3.52;7.05;9.92;11.61;12.0;13.44;13.83;14.09;14.35;14.74;14.87;15.14;15.27;15.27;15.4;15.53;15.22;14.84;13.32;11.86
45;0.0;3.91;7.83;10.83;12.4;12.66;13.96;14.48;14.87;15.27;15.4;15.66;15.79;16.05;16.18;16.31;16.57;16.24;15.83;14.18;12.58
50;0.0;4.18;8.48;11.35;12.4;13.18;14.48;15.14;15.4;15.79;16.18;16.44;16.7;16.96;17.09;17.48;17.88;17.52;17.08;15.15;13.66
55;0.0;4.31;9.0;12.0;12.66;13.7;15.14;15.4;16.05;16.44;16.83;17.09;17.61;17.88;18.14;18.53;19.18;18.8;18.33;16.25;14.5
60;0.0;4.57;9.13;12.26;13.18;14.09;15.4;16.05;16.57;16.96;17.48;17.88;18.27;18.66;19.18;19.44;20.35;19.95;19.45;17.35;15.45
65;0.0;4.7;9.26;12.4;13.44;14.48;15.79;16.57;17.09;17.74;18.27;18.92;19.44;19.83;20.35;20.88;22.18;21.74;21.19;18.82;16.89
70;0.0;4.83;9.39;12.4;13.44;14.61;16.05;16.96;17.74;18.4;19.18;19.7;20.48;21.01;21.79;22.31;24.01;23.53;22.94;20.53;18.21
75;0.0;4.83;9.26;12.4;13.57;14.61;16.05;17.22;17.88;19.18;19.83;20.62;21.27;22.05;22.7;23.49;25.31;24.81;24.19;21.63;19.17
80;0.0;4.83;9.26;12.13;14.09;14.61;15.92;17.35;18.14;19.44;20.22;21.4;22.18;22.96;23.62;24.53;26.62;26.09;25.43;22.61;20.25
85;0.0;4.7;9.13;12.0;13.83;14.87;15.92;17.35;18.27;19.7;20.75;22.57;23.62;24.4;25.05;25.83;27.66;27.12;26.43;23.46;20.97
90;0.0;4.57;8.87;11.74;13.7;14.87;15.92;17.48;18.4;19.96;21.27;23.22;24.79;25.57;26.36;27.01;28.57;28.01;27.3;24.44;21.68
95;0.0;4.31;8.35;11.35;13.31;14.87;15.79;17.22;18.53;20.35;21.66;23.62;25.44;26.23;26.75;27.14;28.31;27.76;27.05;24.2;21.56
100;0.0;4.18;8.09;10.83;12.79;14.61;15.53;17.09;18.66;20.22;21.66;23.88;25.7;26.23;27.14;27.53;28.31;27.76;27.05;24.2;21.56
105;0.0;3.78;7.57;10.44;12.53;14.22;15.4;16.96;18.53;20.09;21.66;23.49;25.18;25.83;27.53;27.92;29.36;28.78;28.05;25.05;22.28
110;0.0;3.52;7.18;10.18;12.26;13.57;14.87;16.7;18.4;20.09;21.53;22.83;24.66;25.31;27.27;28.57;30.53;29.93;29.17;26.03;23.12
115;0.0;3.39;6.92;9.92;11.87;13.18;14.48;16.31;17.88;19.57;21.01;22.57;24.53;25.31;27.27;29.36;31.58;30.95;30.17;26.76;23.96
120;0.0;3.26;6.52;9.39;11.48;13.05;14.09;15.79;17.35;19.05;20.22;22.31;24.14;25.18;27.53;29.49;32.49;31.85;31.04;27.62;24.68
125;0.0;3.0;6.13;8.87;10.83;12.53;13.83;15.53;16.96;18.66;19.83;21.92;23.88;24.92;27.27;29.49;33.27;32.62;31.79;28.35;25.28
130;0.0;2.74;5.61;8.09;10.31;11.87;13.31;15.27;16.44;18.14;19.31;21.4;23.62;24.79;26.75;29.36;34.05;33.38;32.54;28.96;25.88
135;0.0;2.48;4.96;7.31;9.39;10.96;12.26;14.35;15.79;17.35;19.18;21.14;23.49;24.4;26.62;29.1;35.36;34.66;33.78;30.06;26.84
140;0.0;2.35;4.44;6.65;8.61;10.31;11.35;13.18;14.87;16.44;18.66;20.62;22.96;23.88;26.36;28.44;36.01;35.94;35.03;31.29;27.91
145;0.0;1.96;3.91;5.87;7.57;9.26;10.44;11.87;13.44;15.14;16.96;19.44;22.31;23.62;26.23;28.57;35.1;35.69;34.78;31.04;27.67
150;0.0;1.7;3.26;5.09;6.78;8.48;9.52;10.83;12.0;13.83;15.53;18.4;21.4;23.22;25.83;28.71;34.05;34.79;34.66;30.8;27.43
155;0.0;1.57;2.87;4.44;6.13;7.44;8.61;9.92;10.83;12.4;13.83;16.31;19.18;20.88;23.62;26.49;32.88;33.64;34.16;30.43;27.08
160;0.0;1.3;2.48;3.91;5.35;6.65;7.83;9.13;10.05;11.22;12.26;14.61;17.22;18.79;21.4;24.14;31.45;32.36;32.79;29.94;26.6
170;0.0;1.04;2.09;3.39;4.7;6.0;6.78;7.96;8.87;10.05;10.83;12.79;14.87;16.44;18.92;21.4;27.79;28.52;29.3;27.74;24.68
180;0.0;0.91;2.09;3.0;4.18;5.35;6.13;7.05;7.83;9.0;9.79;11.48;13.57;14.87;17.35;19.7;25.7;26.6;27.05;26.76;23.84
